[00:00:00.000007177] (+?.?????????) init: { row = 35, col = 9 }, { }
[00:00:00.000577265] (+0.000000252) epiphanious: { row = 34, col = 9 }, { sum = 21 }
[00:00:00.000577517] (+0.000000252) epiphanious: { row = 34, col = 10 }, { sum = 21 }
[00:00:00.000577769] (+0.000000252) epiphanious: { row = 34, col = 11 }, { sum = 21 }
[00:00:00.000593141] (+0.000015372) epiphanious: { row = 35, col = 8 }, { sum = 21 }
[00:00:00.000593393] (+0.000000252) epiphanious: { row = 35, col = 9 }, { sum = 21 }
[00:00:00.000593645] (+0.000000252) epiphanious: { row = 35, col = 10 }, { sum = 21 }
[00:00:00.000593897] (+0.000000252) epiphanious: { row = 35, col = 11 }, { sum = 21 }
[00:00:00.000621706] (+0.000027809) epiphanious: { row = 32, col = 8 }, { sum = 28 }
[00:00:00.000621994] (+0.000000288) epiphanious: { row = 32, col = 9 }, { sum = 28 }
[00:00:00.000622282] (+0.000000288) epiphanious: { row = 32, col = 10 }, { sum = 28 }
[00:00:00.000622570] (+0.000000288) epiphanious: { row = 32, col = 11 }, { sum = 28 }
[00:00:00.000640138] (+0.000017568) epiphanious: { row = 33, col = 8 }, { sum = 28 }
[00:00:00.000640426] (+0.000000288) epiphanious: { row = 33, col = 9 }, { sum = 28 }
[00:00:00.000640714] (+0.000000288) epiphanious: { row = 33, col = 10 }, { sum = 28 }
[00:00:00.000641002] (+0.000000288) epiphanious: { row = 33, col = 11 }, { sum = 28 }
[00:00:00.000658570] (+0.000017568) epiphanious: { row = 34, col = 8 }, { sum = 28 }
[00:00:00.000658858] (+0.000000288) epiphanious: { row = 34, col = 9 }, { sum = 28 }
[00:00:00.000659146] (+0.000000288) epiphanious: { row = 34, col = 10 }, { sum = 28 }
[00:00:00.000659434] (+0.000000288) epiphanious: { row = 34, col = 11 }, { sum = 28 }
[00:00:00.000677002] (+0.000017568) epiphanious: { row = 35, col = 8 }, { sum = 28 }
[00:00:00.000677290] (+0.000000288) epiphanious: { row = 35, col = 9 }, { sum = 28 }
[00:00:00.000677578] (+0.000000288) epiphanious: { row = 35, col = 10 }, { sum = 28 }
[00:00:00.000677866] (+0.000000288) epiphanious: { row = 35, col = 11 }, { sum = 28 }
[00:00:00.000698673] (+0.000020807) epiphanious: { row = 32, col = 8 }, { sum = 36 }
[00:00:00.000698997] (+0.000000324) epiphanious: { row = 32, col = 9 }, { sum = 36 }
[00:00:00.000699321] (+0.000000324) epiphanious: { row = 32, col = 10 }, { sum = 36 }
[00:00:00.000699645] (+0.000000324) epiphanious: { row = 32, col = 11 }, { sum = 36 }
[00:00:00.000719409] (+0.000019764) epiphanious: { row = 33, col = 8 }, { sum = 36 }
[00:00:00.000719733] (+0.000000324) epiphanious: { row = 33, col = 9 }, { sum = 36 }
[00:00:00.000720057] (+0.000000324) epiphanious: { row = 33, col = 10 }, { sum = 36 }
[00:00:00.000720381] (+0.000000324) epiphanious: { row = 33, col = 11 }, { sum = 36 }
[00:00:00.000740145] (+0.000019764) epiphanious: { row = 34, col = 8 }, { sum = 36 }
[00:00:00.000740469] (+0.000000324) epiphanious: { row = 34, col = 9 }, { sum = 36 }
[00:00:00.000740793] (+0.000000324) epiphanious: { row = 34, col = 10 }, { sum = 36 }
[00:00:00.000741117] (+0.000000324) epiphanious: { row = 34, col = 11 }, { sum = 36 }
[00:00:00.000760881] (+0.000019764) epiphanious: { row = 35, col = 8 }, { sum = 36 }
[00:00:00.000761205] (+0.000000324) epiphanious: { row = 35, col = 9 }, { sum = 36 }
[00:00:00.000761529] (+0.000000324) epiphanious: { row = 35, col = 10 }, { sum = 36 }
[00:00:00.000761853] (+0.000000324) epiphanious: { row = 35, col = 11 }, { sum = 36 }
[00:00:00.000775622] (+0.000013769) epiphanious: { row = 32, col = 8 }, { sum = 45 }
[00:00:00.000775982] (+0.000000360) epiphanious: { row = 32, col = 9 }, { sum = 45 }
[00:00:00.000776342] (+0.000000360) epiphanious: { row = 32, col = 10 }, { sum = 45 }
[00:00:00.000776702] (+0.000000360) epiphanious: { row = 32, col = 11 }, { sum = 45 }
[00:00:00.000798662] (+0.000021960) epiphanious: { row = 33, col = 8 }, { sum = 45 }
[00:00:00.000799022] (+0.000000360) epiphanious: { row = 33, col = 9 }, { sum = 45 }
[00:00:00.000799382] (+0.000000360) epiphanious: { row = 33, col = 10 }, { sum = 45 }
[00:00:00.000799742] (+0.000000360) epiphanious: { row = 33, col = 11 }, { sum = 45 }
[00:00:00.000821702] (+0.000021960) epiphanious: { row = 34, col = 8 }, { sum = 45 }
[00:00:00.000822062] (+0.000000360) epiphanious: { row = 34, col = 9 }, { sum = 45 }
[00:00:00.000822422] (+0.000000360) epiphanious: { row = 34, col = 10 }, { sum = 45 }
[00:00:00.000822782] (+0.000000360) epiphanious: { row = 34, col = 11 }, { sum = 45 }
[00:00:00.000844742] (+0.000021960) epiphanious: { row = 35, col = 8 }, { sum = 45 }
[00:00:00.000845102] (+0.000000360) epiphanious: { row = 35, col = 9 }, { sum = 45 }
[00:00:00.000845462] (+0.000000360) epiphanious: { row = 35, col = 10 }, { sum = 45 }
[00:00:00.000845822] (+0.000000360) epiphanious: { row = 35, col = 11 }, { sum = 45 }
[00:00:00.000852571] (+0.000006749) epiphanious: { row = 32, col = 8 }, { sum = 55 }
[00:00:00.000852967] (+0.000000396) epiphanious: { row = 32, col = 9 }, { sum = 55 }
[00:00:00.000853363] (+0.000000396) epiphanious: { row = 32, col = 10 }, { sum = 55 }
[00:00:00.000853759] (+0.000000396) epiphanious: { row = 32, col = 11 }, { sum = 55 }
[00:00:00.000877915] (+0.000024156) epiphanious: { row = 33, col = 8 }, { sum = 55 }
[00:00:00.000878311] (+0.000000396) epiphanious: { row = 33, col = 9 }, { sum = 55 }
[00:00:00.000878707] (+0.000000396) epiphanious: { row = 33, col = 10 }, { sum = 55 }
[00:00:00.000879103] (+0.000000396) epiphanious: { row = 33, col = 11 }, { sum = 55 }
[00:00:00.000903259] (+0.000024156) epiphanious: { row = 34, col = 8 }, { sum = 55 }
[00:00:00.000903655] (+0.000000396) epiphanious: { row = 34, col = 9 }, { sum = 55 }
[00:00:00.000904051] (+0.000000396) epiphanious: { row = 34, col = 10 }, { sum = 55 }
[00:00:00.000904447] (+0.000000396) epiphanious: { row = 34, col = 11 }, { sum = 55 }
[00:00:00.000928603] (+0.000024156) epiphanious: { row = 35, col = 8 }, { sum = 55 }
[00:00:00.000928999] (+0.000000396) epiphanious: { row = 35, col = 9 }, { sum = 55 }
[00:00:00.000929395] (+0.000000396) epiphanious: { row = 35, col = 10 }, { sum = 55 }
[00:00:00.000929520] (+0.000000125) epiphanious: { row = 32, col = 8 }, { sum = 66 }
[00:00:00.000929791] (+0.000000271) epiphanious: { row = 35, col = 11 }, { sum = 55 }
[00:00:00.000929952] (+0.000000161) epiphanious: { row = 32, col = 9 }, { sum = 66 }
[00:00:00.000930384] (+0.000000432) epiphanious: { row = 32, col = 10 }, { sum = 66 }
[00:00:00.000930816] (+0.000000432) epiphanious: { row = 32, col = 11 }, { sum = 66 }
[00:00:00.000957168] (+0.000026352) epiphanious: { row = 33, col = 8 }, { sum = 66 }
[00:00:00.000957600] (+0.000000432) epiphanious: { row = 33, col = 9 }, { sum = 66 }
[00:00:00.000958032] (+0.000000432) epiphanious: { row = 33, col = 10 }, { sum = 66 }
[00:00:00.000958464] (+0.000000432) epiphanious: { row = 33, col = 11 }, { sum = 66 }
[00:00:00.000984816] (+0.000026352) epiphanious: { row = 34, col = 8 }, { sum = 66 }
[00:00:00.000985248] (+0.000000432) epiphanious: { row = 34, col = 9 }, { sum = 66 }
[00:00:00.000985680] (+0.000000432) epiphanious: { row = 34, col = 10 }, { sum = 66 }
[00:00:00.000986112] (+0.000000432) epiphanious: { row = 34, col = 11 }, { sum = 66 }
[00:00:00.001006469] (+0.000020357) epiphanious: { row = 32, col = 8 }, { sum = 78 }
[00:00:00.001006937] (+0.000000468) epiphanious: { row = 32, col = 9 }, { sum = 78 }
[00:00:00.001007405] (+0.000000468) epiphanious: { row = 32, col = 10 }, { sum = 78 }
[00:00:00.001007873] (+0.000000468) epiphanious: { row = 32, col = 11 }, { sum = 78 }
[00:00:00.001012464] (+0.000004591) epiphanious: { row = 35, col = 8 }, { sum = 66 }
